9 bcdefghi,aihdc,abd,acbhgfe,adf,aedg,afdh,agdbi,ahb
9 bcd,adef,agfe,aeb,bdcf,becghi,cihf,fgi,fhg
9 bcd,ade,afge,aeb,bdcg,chig,cfihe,fgi,fhg
9 bcdef,afg,agehid,acih,ahcg,agb,bfec,cedi,chd
9 bcde,afgh,ahfi,aie,adi,bichg,bfh,bgfc,cfed
9 bcde,afcghi,agbf,afe,adf,bedc,bcih,bgi,bhg
9 bcdef,afdghc,abhg,agbi,aif,aeib,bdch,bgc,dfe
9 bcde,aefg,aghi,aigf,afb,bed,bdihc,cgi,chgd
9 bcde,aecfgh,afbi,aie,adib,bchg,bfh,bgf,ced
9 bcd,adef,agfe,aeb,bdc,bcghi,cihf,fgi,fhg
9 bcde,aef,adghi,agcf,afb,bed,cdih,cgi,chg
9 bcdef,afg,aehid,acih,ahcg,agb,bfe,cedi,chd
9 bcde,afgh,ahfi,aie,adi,bchg,bfh,bgfc,ced
9 bcdef,afgh,ahfi,aie,adif,aecgb,bfh,bgc,ced
9 bcdef,afgc,abghid,acih,ahg,agb,bfec,cedi,chd
9 bcde,aefg,aghi,aif,afb,bedg,bfihc,cgi,chgd
9 bcdef,afgc,abhid,acih,ahg,agb,bfe,cedi,chd
9 bcdef,afgc,abgehd,achi,aicg,agb,bfec,cid,dhe
9 bcde,aefg,aghi,aigf,afb,bedg,bfdhc,cgi,chd
9 bcdef,afgc,abghd,achi,aig,agb,bfec,cid,dhe
9 bcdef,afgc,abgehi,aih,ahcg,agb,bfec,cedi,chd
9 bcde,aefg,ahi,aigf,afb,bedg,bfdih,cgi,chgd
9 bcdef,afeg,aghi,aige,adgbf,aeb,bedihc,cgi,chgd
9 bcdef,afdcghi,agbd,acbfe,adf,aedb,bcih,bgi,bhg
9 bcde,aedf,agfd,acfbe,adb,bdcghi,cihf,fgi,fhg
9 bcde,aed,afgd,acgbe,adb,chig,cfihd,fgi,fhg
9 bcdefg,agedc,abd,acb,abghif,aeih,aheb,egfi,ehf
9 bcdef,adcghi,agbd,acbfe,adf,aed,bcih,bgi,bhg
9 bcdefg,agdc,abd,acbe,adghif,aeih,aheb,egfi,ehf
9 bcdef,afeg,aghi,aige,adbf,aeb,bdihc,cgi,chgd
9 bcdef,afcghi,agbd,acfe,adf,aedb,bcih,bgi,bhg
9 bcde,aedf,agfd,acbe,adb,bcghi,cihf,fgi,fhg
9 bcdef,afe,adghi,agce,adbf,aeb,cdih,cgi,chg
9 bcdefg,agedc,abd,acbe,adbhif,aeih,ahb,egfi,ehf
9 bcdefg,agdc,abd,acbe,adhif,aeih,ahb,egfi,ehf
9 bcdefg,agedhc,abhi,aibe,adbgf,aeg,afeb,bic,chd
9 bcdef,afeg,aghi,aige,adgbf,aeb,bedhc,cgi,chd
9 bcdefg,agedc,abd,acbe,adbhf,aehi,aib,eif,fhg
9 bcdefg,aghc,abhi,aie,adgf,aeg,afeb,bic,chd
9 bcdefg,agedhi,aih,ahbe,adbgf,aeg,afeb,bdci,bhc
9 bcdef,afeg,ahi,aige,adgbf,aeb,bedih,cgi,chgd
9 bcdefg,aghfi,aifed,ace,adcf,aecibhg,afhb,bgf,bfc
9 bcdef,afeg,aghd,achgi,aigbf,aeb,beidhc,cgd,dge
9 bcdef,afdgchi,aihbg,agbfe,adf,aedb,bdc,bci,bhc
9 bcde,aedf,aghfi,aifbe,adb,bdichg,cfh,cgf,cfd
9 bcdef,afe,aegdhi,aihcg,agcbf,aeb,ced,cdi,chd
9 bcdef,afec,abgdhi,aihcg,agbf,aeb,ced,cdi,chd
9 bcde,aedf,aghfi,aibe,adb,bichg,cfh,cgf,cfd
9 bcdefg,agf,afheid,acie,adich,ahcbg,afb,cfe,ced
9 bcdefg,agfc,abfhei,aie,adich,ahcbg,afb,cfe,ced
9 bcdef,afeg,ahd,achgi,aigbf,aeb,beidh,cgd,dge
9 bcdefgh,ahgc,abgfeid,acie,adicf,aec,acbh,agb,ced
9 bcdefg,agedchi,aihbd,acb,abgf,aeg,afeb,bci,bhc
9 bcdef,afeg,ahigd,acg,agbf,aeb,bedcih,cgi,chg
9 bcdefg,agf,afedhi,aihce,adc,acbg,afb,cdi,chd
9 bcdefg,agfc,abedhi,aihce,adc,abg,afb,cdi,chd
9 bcdefg,aghi,aig,agfe,adf,aedg,afdcihb,bgi,bhgc
9 bcdef,afdcghi,agb,abfe,adf,aedb,bcih,bgi,bhg
9 bcde,aedf,agf,afbe,adb,bdcghi,cihf,fgi,fhg
9 bcde,aed,afg,agbe,adb,chig,cfihd,fgi,fhg
9 bcdef,afec,abdghi,agc,abf,aeb,cdih,cgi,chg
9 bcde,aedf,agf,abe,adb,bcghi,cihf,fgi,fhg
9 bcdefg,agf,afehid,acih,ahc,acbg,afb,cedi,chd
9 bcdef,aghi,aig,agfe,adf,aed,bdcih,bgi,bhgc
9 bcdef,adcghi,agb,abfe,adf,aed,bcih,bgi,bhg
9 bcdefg,agdhic,abih,ahb,agf,aeg,afeb,bdci,bhc
9 bcdefgh,afedic,abid,acibe,adb,abhg,afh,agf,bdc
9 bcdefg,ahic,abihd,ach,ahgf,aeg,afe,bedci,bhc
9 bcdef,aghic,abi,aife,adf,aed,bih,bgi,bhgdc
9 bcdefgh,ahedic,abid,acibe,adb,ahg,afh,agfb,bdc
9 bcdefgh,ahfeic,abid,acie,adb,abhg,afh,agfb,bdc
9 bcdefg,aghi,aig,agfe,adf,aedg,afdchb,bgi,bhc
9 bcdef,afeg,aghi,aig,agbf,aeb,bedhc,cgi,chd
9 bcdefg,agfc,abehd,achi,aic,abg,afb,cid,dhe
9 bcdef,afcgh,aib,afe,adf,aedb,bih,bgi,chg
9 bcde,aedf,agf,abe,adb,bchi,cih,fgi,fhg
9 bcdefgh,ahg,agfid,acie,adif,aec,acbh,agb,ced
9 bcdefg,ahc,abh,ahgie,adif,aeig,afd,bdc,dfe
9 bcdef,aghc,abhd,acg,aif,aei,bidh,bgc,egf
9 bcde,afgc,abh,aie,adi,bhg,bfh,cgfi,dhe
9 bcdefg,ahic,abid,ach,ahgf,aeg,afe,bedi,bhc
9 bcdef,aghc,abi,aife,adf,aed,bih,bgi,chgd
9 bcdefg,aedhi,aihd,acb,abgf,aeg,afe,bci,bhc
9 bcdefg,aghi,aig,agfe,adf,aed,adchb,bgi,bhc
9 bcdef,aghi,aig,agfe,adf,aed,bdch,bgi,bhc
9 bcdef,adcgh,aib,abfe,adf,aed,bih,bgi,chg
9 bcdefgh,aheic,abid,acie,adb,ahg,afh,agfb,bdc
9 bcdefghi,aigfec,abed,ace,adcbf,aebg,afbih,agi,ahgb
9 bcdefgh,ahgi,aied,ace,adcif,aeig,afibh,agb,bgfec
9 bcdefg,agfhi,aihed,ace,adch,ahbg,afb,bfeci,bhc
9 bcdefgh,ahfedi,aid,acibe,adbf,aebhg,afh,agfb,bdc
9 bcdefg,agfh,aid,acihe,adhf,aehbg,afb,bfedi,chd
9 bcdef,afg,ahd,achie,adif,aeigb,bfi,cid,dhgfe
9 bcdefg,agh,ahgfei,aie,adicf,aecg,afchb,bgc,ced
9 bcdefgh,ahi,aigd,acgfe,adf,aedg,afdcih,agib,bhgc
9 bcdefg,agfh,ahid,aci,aihf,aehbg,afb,bfeic,ched
9 bcdef,aghdc,abd,acbh,ahif,aei,bih,bgied,ehgf
9 bcde,afc,abfg,aghe,adh,bigc,cfihd,dgie,fhg
9 bcdefg,ahedc,abd,acbe,adbhif,aeig,afi,bie,ehgf
9 bcdef,agc,abgd,acghie,adif,aei,bhdc,dgi,dhfe
9 bcdefg,ahei,aid,acie,adibhf,aehg,afh,bgfe,bedc
9 bcdef,afgh,ahid,aci,aihg,agb,bfeh,bgeic,ched
9 bcdefg,agh,ahgfid,acie,adi,aicg,afchb,bgc,cfed
9 bcdef,aghc,abh,ahge,adgif,aei,biedh,bgdc,egf
9 bcdef,agdhc,abh,ahbgie,adif,aei,bid,bdc,dgfe
9 bcde,afgc,abg,ahfie,adi,bidhg,bfhc,dgf,dfe
9 bcde,afg,agfhid,acie,adi,bhcg,bfc,cfi,ched
9 bcdefgh,ahgfi,aifed,ace,adcf,aecibg,afbh,agb,bfc
9 bcdefghi,agfec,abed,ace,adcbf,aebg,afbih,agi,ahg
9 bcdefgh,aidc,abd,acbie,adif,aeihg,afh,agf,bfed
9 bcdefg,ahc,abhid,acie,adigf,aeg,afe,bic,ched
9 bcdefgh,afedi,aid,acibe,adbf,aebhg,afh,agf,bdc
9 bcdefgh,ahi,aigd,acgfe,adf,aed,adcih,agib,bhgc
9 bcdefg,ahic,abi,aihe,adhgf,aeg,afe,bedi,bhdc
9 bcdef,aghdc,abd,acb,ahif,aei,bih,bgie,ehgf
9 bcdefg,aedhi,aih,ahbe,adbgf,aeg,afe,bdci,bhc
9 bcdefg,ahedc,abd,acb,abhif,aeig,afi,bie,ehgf
9 bcdefgh,ahgfi,aifed,ace,adc,acibg,afbh,agb,bfc
9 bcdefg,ahdc,abd,acbhi,aihgf,aeg,afe,beid,dhe
9 bcdefg,aehdi,aid,acibh,ahbgf,aeg,afe,bed,bdc
9 bcdefghi,agfe,aed,ace,adcbf,aebg,afbih,agi,ahg
9 bcdefgh,ahgfi,aifed,ace,adc,acib,abh,agb,bfc
9 bcdefghi,aihgc,abgd,acfe,adf,aed,acb,abi,ahb
9 bcdefghi,aihgc,abg,agfe,adf,aedg,afdcbh,agbi,ahb
9 bcdefgh,ahfedi,aid,acibe,adb,abhg,afh,agfb,bdc
9 bcdefg,agfh,aid,acihe,adh,ahbg,afb,bfedi,chd
9 bcdefg,ahc,abhd,achgfi,aif,aeidg,afd,bdc,dfe
9 bcdef,afgh,aid,acihe,adh,agb,bfh,bgedi,chd
9 bcdefg,agh,ahgfei,aie,adicf,aec,achb,bgc,ced
9 bcdefgh,ahc,abhd,acgfi,aif,aeidg,afd,acb,dfe
9 bcdefg,agfh,aid,acihe,adh,abg,afb,bedi,chd
9 bcdefgh,ahi,aig,agfe,adf,aedg,afdcih,agib,bhgc
9 bcdefg,agedhi,aih,ahb,abgf,aeg,afeb,bdci,bhc
9 bcdef,afeg,ahi,aig,agbf,aeb,bedih,cgi,chgd
9 bcdefg,agfc,abehi,aih,ahc,abg,afb,cedi,chd
9 bcdef,afeg,ahi,aig,abf,aeb,bdih,cgi,chgd
9 bcdefg,ahc,abhd,achgie,adif,aei,aid,bdc,dgfe
9 bcdefg,agh,ahgfid,acie,adi,aic,achb,bgc,cfed
9 bcdef,aghc,abh,ahg,agif,aei,biedh,bgdc,egf
9 bcdefgh,ahic,abi,aih,agf,aeg,afeh,agdib,bhdc
9 bcdefgh,aic,abid,acihge,adgf,aeg,afedh,agd,bdc
9 bcdefgh,ahi,aihgfd,acfe,adf,aedcg,afc,acib,bhc
9 bcdefg,ahdc,abd,acbhe,adh,ahig,afi,bifed,fhg
9 bcdef,agc,abghd,ach,ahif,aei,bhc,cgied,ehf
9 bcdefg,ahi,aihgfd,acfe,adf,aedcg,afc,bci,bhc
9 bcdef,agdc,abd,acbge,adg,ahi,bihed,fgi,fhg
9 bcdefghi,aidc,abd,acbie,adi,aihg,afh,agf,afedb
9 bcdefgh,aidc,abd,acbie,adi,aihg,afh,agf,bfed
9 bcdefg,ahc,abhid,aci,aigf,aeg,afe,bic,ched
9 bcdefgh,afedi,aid,acibe,adb,abhg,afh,agf,bdc
9 bcdefg,ahc,abh,ahgfi,aif,aeidg,afd,bdc,dfe
9 bcdefgh,ahi,aig,agfe,adf,aed,adcih,agib,bhgc
9 bcdefg,ahic,abi,aih,ahgf,aeg,afe,bedi,bhdc
9 bcdef,agh,ahi,aife,adf,aed,bih,bgic,chgd
9 bcdefg,aedhi,aih,ahb,abgf,aeg,afe,bdci,bhc
9 bcdefg,ahc,abh,ahgie,adif,aei,aid,bdc,dgfe
9 bcdef,aghc,abh,ahg,aif,aei,bidh,bgdc,egf
9 bcdefgh,aic,abi,aihge,adgf,aeg,afedh,agd,bdc
9 bcdefg,ahdc,abd,acbhe,adh,aig,afi,bied,fhg
9 bcdef,agc,abghd,ach,aif,aei,bhc,cgid,ehf
9 bcdefghi,aic,abihd,ach,agf,aeg,afeh,agdci,ahcb
9 bcdefghi,aic,abid,ach,ahgf,aeg,afeh,agedi,ahcb
9 bcdefgh,ahfei,aid,acie,adb,abhg,afh,agfb,bdc
9 bcdefg,agfh,aid,acie,adh,ahbg,afb,bfei,chd
9 bcdef,afg,ahd,ache,adi,aigb,bfi,cid,ehgf
9 bcdefg,ahc,abhd,achgi,aif,aeig,afd,bdc,dfe
9 bcdef,afgh,aid,acie,adh,agb,bfh,bgei,chd
9 bcde,afg,ahd,ache,adi,big,bfi,cid,ehgf
9 bcdefg,agh,ahgfi,aie,adif,aec,achb,bgc,ced
9 bcdef,agh,ahgfi,aie,adif,aec,bch,bgc,ced
9 bcdefgh,ahi,aig,agfe,adf,aedg,afdch,agib,bhc
9 bcdefg,agedh,ahi,aib,abgf,aeg,afeb,bic,chd
9 bcdef,afeg,ahi,aig,agbf,aeb,bedh,cgi,chd
9 bcdef,agc,abgd,acgfh,ahi,aid,bdc,die,ehf
9 bcde,aefg,ahi,aig,afb,beg,bfdh,cgi,chd
9 bcdefg,ahc,abhd,achge,adif,aei,aid,bdc,egf
9 bcdefg,agh,ahgfd,acie,adi,aic,achb,bgc,dfe
9 bcdef,aghc,abh,ahg,agif,aei,bied,bdc,egf
9 bcde,afg,agh,ahie,adi,bhg,bfc,cfid,dhe
9 bcdef,agedh,ahi,aib,abgf,aeg,bfe,bic,chd
9 bcdef,agh,ahgfd,acie,adi,aic,bch,bgc,dfe
9 bcde,afgc,abg,agf,ahi,bihd,bdc,efi,ehf
9 bcdefgh,aic,abid,acihe,adgf,aeg,afeh,agd,bdc
9 bcdefgh,ahi,aihgd,acfe,adf,aedg,afc,acib,bhc
9 bcdefg,ahdc,abd,acbe,adh,ahig,afi,bife,fhg
9 bcdefg,ahi,aihgd,acfe,adf,aedg,afc,bci,bhc
9 bcdef,agdc,abd,acbe,adg,ahi,bihe,fgi,fhg
9 bcdefgh,ahc,abhd,acg,agif,aei,aied,acb,egf
9 bcdefg,ahi,aihg,afe,adf,aedg,afc,bci,bhc
9 bcdefghi,aic,abid,acih,agf,aeg,afeh,agd,adcb
9 bcdefgh,ahgi,aed,ace,adcf,aei,aibh,agb,bgf
9 bcdefg,agh,aed,ace,adcf,aei,aihb,bgi,fhg
9 bcdefgh,aic,abid,acih,agf,aeg,afeh,agd,bdc
9 bcdefg,aghi,aed,ace,adcf,aei,ahb,bgi,bhf
9 bcdef,agh,aed,ace,adcf,aei,bih,bgi,fhg
9 bcdefghi,aic,abid,acihg,agf,aeg,afedh,agd,adcb
9 bcdefgh,ahgi,aed,ace,adcif,aei,aibh,agb,bgfe
9 bcdefg,agh,aed,ace,adcif,aei,aihb,bgi,ehgf
9 bcdefgh,aic,abid,acihg,agf,aeg,afedh,agd,bdc
9 bcdefg,aghi,aed,ace,adcif,aei,ahb,bgi,bhfe
9 bcdefgh,ahi,aihgf,afe,adf,aedcg,afc,acib,bhc
9 bcdefg,ahi,aihgf,afe,adf,aedcg,afc,bci,bhc
9 bcdefghi,aic,abi,aihg,agf,aeg,afedh,agd,adcb
9 bcdefgh,aic,abi,aihg,agf,aeg,afedh,agd,bdc
9 bcdefghi,aic,abi,aih,agf,aeg,afeh,agd,adcb
9 bcdefgh,aic,abi,aih,agf,aeg,afeh,agd,bdc
9 bcdefghi,aic,abid,achge,adgf,aeg,afedh,agdi,ahcb
9 bcdefgh,ahgi,aied,ace,adcif,aeig,afbh,agb,bfec
9 bcdefg,agh,ahid,acfe,adf,aedi,aihb,bgic,chgf
9 bcdef,agdc,abd,acbh,ahif,aei,bih,dgie,ehgf
9 bcdefg,agfhi,aied,ace,adch,ahbg,afb,bfei,bhc
9 bcdefgh,ahedi,aid,acibe,adbf,aehg,afh,agfb,bdc
9 bcdefg,agfh,aid,acihe,adhf,aebg,afb,bedi,chd
9 bcdefg,agh,ahfei,aie,adicf,aecg,afhb,bgc,ced
9 bcdefgh,ahigc,abgd,acfe,adf,aed,acbi,aib,bhg
9 bcdefgh,ahi,aigd,acfe,adf,aedg,afcih,agib,bhgc
9 bcdefg,agdhi,aih,ahbe,adgf,aeg,afeb,bdci,bhc
9 bcdef,afeg,ahi,aige,adbf,aeb,bdih,cgi,chgd
9 bcdef,agdc,abd,acbe,adghi,aih,bhe,egfi,ehf
9 bcde,aedf,agh,aibe,adb,bihg,cfh,cgfi,dhf
9 bcdefg,agc,abg,afhi,aih,ahdg,afcb,dfei,dhe
9 bcdefg,ahdc,abd,acbe,adhif,aeig,afi,bie,ehgf
9 bcdefg,agh,ahfid,acie,adi,aicg,afhb,bgc,cfed
9 bcdef,aghc,abh,ahge,adif,aei,bidh,bgdc,egf
9 bcde,afg,aghd,acie,adi,bhg,bfhc,cgfi,dhe
9 bcdef,agdhi,aih,ahbe,adgf,aeg,bfe,bdci,bhc
9 bcdef,aghc,abh,ahgie,adif,aei,bid,bdc,dgfe
9 bcde,afgc,abg,ahie,adi,bihg,bfhc,dgf,dfe
9 bcdefgh,ahc,abh,agie,adif,aei,aidh,agcb,dgfe
9 bcdefg,ahic,abi,aihe,adgf,aeg,afe,bdi,bhdc
9 bcdef,agh,ahid,acfe,adf,aed,bih,bgic,chg
9 bcdefgh,ahgfi,aied,ace,adcf,aeibg,afbh,agb,bfc
9 bcdefg,aghdi,aid,acibh,ahgf,aeg,afeb,bed,bdc
9 bcdef,afeg,ahd,achgi,aibf,aeb,bidh,cgd,dge
9 bcdefg,agh,ahifd,acfe,adf,aedci,aihb,bgc,cgf
9 bcdef,agdc,abd,acbgh,ahif,aei,bihd,dge,egf
9 bcdefgh,ahei,aid,acie,adbhf,aehg,afh,agfeb,bdc
9 bcdefg,aghi,aied,ace,adcif,aeih,ahb,bgf,bfec
9 bcdef,afg,aghi,aie,adih,ahgb,bfhc,cgfe,ced
9 bcdefg,agedh,ahd,achbe,adbi,aig,afib,bdc,egf
9 bcdef,afgh,aid,acihe,adhg,agb,bfe,bedi,chd
9 bcde,afg,ahd,achie,adif,beg,bfi,cid,dhge
9 bcdef,afgeh,aid,acie,adhbg,agb,bfe,bei,chd
9 bcde,afg,ahd,ache,adigf,beg,bfei,cid,ehg
9 bcdef,agh,ahfei,aie,adicf,aecg,bfh,bgc,ced
9 bcdefg,agh,ahfi,aie,adif,aechg,afhb,bgfc,ced
9 bcdef,afdgh,ahg,agbi,aif,aeib,bdch,bgc,dfe
9 bcde,aefg,ahi,aigf,afb,bed,bdih,cgi,chgd
9 bcdef,agh,ahfid,acie,adi,aicg,bfh,bgc,cfed
9 bcde,afgc,abg,agfh,ahi,bidg,bfdc,die,ehf
9 bcdefg,agfeh,aid,acie,adhbf,aebg,afb,bei,chd
9 bcdef,afg,ahd,ache,adigf,aegb,bfei,cid,ehg
9 bcdefg,ahi,aigfd,acfe,adf,aedcg,afch,bgi,bhc
9 bcdef,agdc,abd,acbge,adgh,ahi,bied,eif,fhg
9 bcdefgh,ahi,aigfd,acfe,adf,aedcg,afch,agib,bhc
9 bcdefg,ahdc,abd,acbhe,adhf,aeig,afi,bied,fhg
9 bcdef,agc,abghd,ache,adif,aei,bhc,cgid,ehf
9 bcdefghi,aihgc,abgd,acfe,adf,aed,acbh,agbi,ahb
9 bcdefgh,aidc,abd,acbie,adif,aehg,afh,agf,bed
9 bcdefg,ahc,abhid,acie,adgf,aeg,afe,bic,chd
9 bcdefghi,aic,abid,ache,adgf,aeg,afeh,agdi,ahcb
9 bcdefgh,ahgi,aied,ace,adcf,aeig,afbh,agb,bfc
9 bcdefg,agh,ahid,acfe,adf,aedi,aihb,bgc,cgf
9 bcdef,agdc,abd,acbh,ahif,aei,bih,dge,egf
9 bcde,afc,abfg,aghe,adh,bic,cid,die,fhg
9 bcdef,aghi,aid,acih,ahgf,aeg,bfe,bed,bdc
9 bcdefg,agfh,ahed,ace,adci,aibg,afb,bic,ehf
9 bcdefgh,ahei,aid,acie,adbf,aehg,afh,agfb,bdc
9 bcdefg,agfh,aid,acie,adhf,aebg,afb,bei,chd
9 bcdef,afg,ahd,ache,adif,aegb,bfi,cid,ehg
9 bcdefg,ahi,aigd,acfe,adf,aedg,afch,bgi,bhc
9 bcdef,afeg,ahi,aige,adbf,aeb,bdh,cgi,chd
9 bcdefg,ageh,ahd,ache,adbi,aig,afib,bdc,egf
9 bcdef,afgh,aid,acie,adhg,agb,bfe,bei,chd
9 bcde,afg,ahd,ache,adif,beg,bfi,cid,ehg
9 bcdef,agh,ahfi,aie,adif,aecg,bfh,bgc,ced
9 bcde,afg,ageh,ahi,aicf,beg,bfc,cid,dhe
9 bcdefg,agh,ahfi,aie,adif,aecg,afhb,bgc,ced
9 bcdefghi,aihgc,abgd,acfe,adf,aedg,afcb,abi,ahb
9 bcdefgh,ahgi,aed,ace,adcif,aeig,afbh,agb,bfe
9 bcdefg,agh,aed,ace,adcif,aeig,afhb,bgi,ehf
9 bcdefgh,ahi,aigd,acfe,adf,aedg,afci,aib,bhgc
9 bcdefg,agfh,aid,aci,aihf,aebg,afb,bei,ched
9 bcdef,agdc,abd,acbh,aif,aei,bih,dgi,ehgf
9 bcdefgh,ahgfi,aied,ace,adcf,aeib,abh,agb,bfc
9 bcdefg,agfh,aed,ace,adchi,aibg,afb,bie,ehf
9 bcdefgh,ahei,aid,acie,adbh,ahg,afh,agfeb,bdc
9 bcdefg,aghi,aed,ace,adcif,aeih,ahb,bgf,bfe
9 bcdef,agh,aed,ace,adcif,aeig,bfh,bgi,ehf
9 bcdefg,agh,ahfi,aie,adif,aech,ahb,bgfc,ced
9 bcdef,afgh,aid,aci,aihg,agb,bfe,bei,ched
9 bcdefg,agfeh,aid,acie,adhb,abg,afb,bei,chd
9 bcdef,afg,ahd,ache,adig,agb,bfei,cid,ehg
9 bcdefg,ahi,aigf,afe,adf,aedcg,afch,bgi,bhc
9 bcdef,afg,ageh,ahi,aicg,agb,bfec,cid,dhe
9 bcdefg,agfc,abeh,ahi,aic,abg,afb,cid,dhe
9 bcdef,afeg,ahi,aig,abf,aeb,bdh,cgi,chd
9 bcdefgh,ahc,abhd,acgi,aif,aeig,afd,acb,dfe
9 bcdefg,agfh,aid,acie,adh,abg,afb,bei,chd
9 bcdefgh,ahi,aigf,afe,adf,aedcg,afch,agib,bhc
9 bcdefg,agfeh,ahid,aci,aihb,abg,afb,bec,ced
9 bcdefgh,ahec,abid,aci,aib,ahg,afh,agfb,ced
9 bcdefghi,aifc,abed,ace,adcf,aeb,aih,agi,ahgb
9 bcdefghi,afc,abed,ace,adcf,aebi,aih,agi,ahgf
9 bcdefgh,ahgi,aed,ace,adci,aig,afbh,agb,bfe
9 bcdefg,agh,aed,ace,adci,aig,afhb,bgi,ehf
9 bcdefgh,ahi,agd,acfe,adf,aedg,afci,aib,bhg
9 bcdefg,agfh,aid,aci,ahf,aebg,afb,bei,chd
9 bcdef,afg,ahd,ach,aif,aegb,bfi,cid,ehg
9 bcdefgh,aei,aid,acie,adbh,ahg,afh,agfe,bdc
9 bcdefg,aghi,aed,ace,adci,aih,ahb,bgf,bfe
9 bcdef,agh,aed,ace,adci,aig,bfh,bgi,ehf
9 bcdefg,agh,afi,aie,adif,aech,ahb,bgf,ced
9 bcdef,afgh,aid,aci,ahg,agb,bfe,bei,chd
9 bcde,afg,ahd,ach,aif,beg,bfi,cid,ehg
9 bcdefg,ahi,aigf,afe,adf,aedc,ach,bgi,bhc
9 bcdef,afg,aeh,ahi,aicg,agb,bfe,cid,dhe
9 bcdefgh,ahi,aigf,afe,adf,aedc,ach,agib,bhc
9 bcdefg,agh,afd,acie,adi,aich,ahb,bgf,dfe
9 bcdefghi,aiedc,abd,acbe,adbif,aeihg,afh,agfi,ahfeb
9 bcdefgh,ahfei,aid,acie,adibf,aebhg,afh,agfb,bedc
9 bcdefg,aghei,aid,acie,adibh,ahg,afhb,bgfe,bedc
9 bcdef,afgh,aid,acie,adihg,agb,bfeh,bgei,ched
9 bcde,aefg,ahd,achi,afb,beig,bfih,cgid,dhgf
9 bcdefg,agfh,aid,acie,adihf,aehbg,afb,bfei,ched
9 bcdefgh,ahi,aihgd,acgfe,adf,aedg,afdch,agcib,bhc
9 bcdefg,agedh,ahi,aihbe,adbgf,aeg,afeb,bdic,chd
9 bcdef,agedc,abd,acbe,adbgh,ahi,bihe,egif,fhg
9 bcdef,aghei,aid,acie,adibh,ahg,bfh,bgfe,bedc
9 bcdef,afeg,ahi,aihge,adgbf,aeb,bedh,cgdi,chd
9 bcdefg,ahedc,abd,acbe,adbhf,aehig,afi,bife,fhg
9 bcdef,agc,abgd,acghe,adhif,aei,bhdc,dgie,ehf
9 bcdefg,ahfei,aid,acie,adibf,aebhg,afh,bgf,bedc
9 bcdefg,agh,ahgfd,acfie,adi,aidcg,afchb,bgc,dfe
9 bcdef,agedh,ahi,aihbe,adbgf,aeg,bfe,bdic,chd
9 bcdef,agdhc,abh,ahbge,adgif,aei,bied,bdc,egf
9 bcdefg,agfh,aheid,aci,aichf,aehbg,afb,bfec,ced
9 bcdef,aghdc,abd,acbh,ahgif,aei,bieh,bged,egf
9 bcdef,agehi,aid,acih,ahbgf,aeg,bfe,bedi,bhdc
9 bcdefgh,ahgi,aifed,ace,adcf,aecig,afibh,agb,bgfc
9 bcdefg,agehi,aid,acih,ahbgf,aeg,afeb,bedi,bhdc
9 bcdef,afeg,ahd,achi,aigbf,aeb,beih,cgid,dhge
9 bcdefg,agfh,ahied,ace,adci,aihbg,afb,bfic,chfe
9 bcdefghi,aih,ahgd,acgfe,adf,aedg,afdch,agcbi,ahb
9 bcdefgh,afei,aid,acie,adibf,aebhg,afh,agf,bedc
9 bcdefg,ahi,aihgd,acgfe,adf,aed,adch,bgci,bhc
9 bcdef,agedc,abd,acb,abgh,ahi,bihe,egif,fhg
9 bcdef,aghei,aid,aci,aibh,ahg,bfh,bgfe,bedc
9 bcdefg,aghi,aifed,ace,adc,acih,ahb,bgfi,bhfc
9 bcdefg,aghei,aid,aci,aibh,ahg,afhb,bgfe,bedc
9 bcdef,afgh,aid,aci,aihg,agb,bfeh,bgei,ched
9 bcdefgh,ahi,aihgd,acgfe,adf,aed,adch,agcib,bhc
9 bcdefg,ahedc,abd,acb,abhf,aehig,afi,bife,fhg
9 bcdef,agc,abg,aghe,adhif,aei,bhdc,dgie,ehf
9 bcdefg,ahfei,aid,aci,aibf,aebhg,afh,bgf,bedc
9 bcdef,agdhc,abh,ahbgi,aif,aei,bid,bdc,dgfe
9 bcde,afg,agfhi,aie,adi,bhcg,bfc,cfi,ched
9 bcdefg,ahdic,abi,aibhe,adhgf,aeg,afe,bed,bdc
9 bcdef,agh,ahgid,acife,adf,aed,bich,bgc,cgd
9 bcdef,aghdc,abd,acb,ahgif,aei,bieh,bge,egf
9 bcdefgh,ahgi,aifed,ace,adc,acig,afibh,agb,bgfc
9 bcdefg,ahidc,abd,acbi,aihgf,aeg,afe,bei,bhed
9 bcdef,agc,abgh,ahife,adf,aed,bihc,cgid,dhg
9 bcdefgh,ahfei,aid,aci,aibf,aebhg,afh,agfb,bedc
9 bcdefg,agfh,aid,aci,aihf,aehbg,afb,bfei,ched
9 bcdef,aghdc,abd,acbh,aif,aei,bih,bgid,ehgf
9 bcde,afc,abfg,ahe,adh,bigc,cfih,dgie,fhg
9 bcdefg,ahedc,abd,acbe,adbhi,aig,afi,bie,ehgf
9 bcdef,agc,abgd,acghi,aif,aei,bhdc,dgi,dhfe
9 bcdefgh,aiedc,abd,acbe,adbif,aeihg,afh,agf,bfe
9 bcdefg,ahc,abhd,achie,adigf,aeg,afe,bidc,dhe
9 bcdefghi,aic,abid,acih,ahgf,aeg,afe,aedi,ahdcb
